case_id,case_title,nuts118cd,nuts218cd,nuts318cd,area,type,sq_km,long_approx,lat_approx,summary,link,issue,issue_e,issue_f,issue_s,action,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8
1,Start Well: Streamlining Services,UKD,UKD3,UKD35,Stockport (Greater Manchester South East),Town / Burrough,126.1,-2.157800156,53.40616502,"Stockport’s early childhood services are incorporated into their ‘Start Well’ model, which was established in April 2018. The model has evolved over time to take account of a review of the use of children’s centres and more recently the integration of health visiting and early years. Start Well now brings together health visiting, children’s centres, early years and childcare, and portage teams to create greater integration in the early years, including for children with special educational needs and disabilities.",https://www.eif.org.uk/resource/start-well-stockport-early-childhood-services-case-example,E,TRUE,FALSE,FALSE,"2, 5, 6",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
2,Family Hubs: Taking Services Into The Community,UKC,UKC1,UKC11,Stockton-on-Tees,Town,204,-1.312038423,54.56428775,"Early childhood services in Stockton-on-Tees are based around family hubs. This has been influenced by the description of family hubs from the Children’s Commissioner’s 2016 discussion paper. The family hubs are for all families and children aged 0–19 years, are based in the community, and host a range of services delivered by the local authority, health services and voluntary sector organisations.",https://www.eif.org.uk/resource/family-hubs-stockton-on-tees-early-childhood-services-case-example,E,TRUE,FALSE,FALSE,"4, 5",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
3,Healthy Relationships Partnership: Increasing Workforce Capacity,UKC,UKC1,UKC11,Hartlepool,Town / Burrough,93.56,-1.214210848,54.68595711,"When the Healthy Relationships Partnership (HRP) first formed in 2015, parental conflict was prevalent in Hartlepool families being referred into social care. We were aware that practitioners in the early help system, including school-based family support staff, locality teams, health visitors and voluntary sector family support services, were not routinely addressing the quality of interparental relationships as part of their assessments, interventions or review processes.",https://www.eif.org.uk/resource/hartlepool-opening-a-can-of-worms-building-capacity-among-practitioners-across-the-early-help-system,F,FALSE,TRUE,FALSE,"2, 6",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
4,Multi-Agency Work: Building Awareness,UKD,UKD7,UKD74,Wirral,Burrough,157.01,-3.018798114,53.39178662,"To consistently recognise instances of parental conflict, we needed all multi-agency frontline practitioners and their managers who work with children, young people and families, to better understand how this differs from domestic abuse, and acknowledge the impact upon children and young people’s wellbeing.",https://www.eif.org.uk/resource/wirral-making-reducing-parental-conflict-part-of-everyday-business-for-frontline-professionals,F,FALSE,TRUE,FALSE,"1, 8",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
5,Setting The Direction: Strategy & CPD In Language Learning,UKI,UKI6,UKI63,Kingston,Burrough,37.24,-0.305241353,51.40885228,"Kingston upon Thames is a London borough with below average levels of social disadvantage and an above-average percentage of children learning English as an Additional Language. Over the years 2016–18, the Communication and Language Early Years Foundation Stage Profile (EYFSP) outcomes for children eligible for free school meals improved markedly. No known demographic changes contributed to the improved outcomes. The improvements between 2016 and 2018 were quite specific to Communication and Language rather than being seen across all areas of learning.",https://www.eif.org.uk/files/resources/slc-gap-case-kingston.pdf,S,FALSE,FALSE,TRUE,"1, 2",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6,A Local Culture of Evaluation: Understanding Impact on Speech & Language Outcomes,UKJ,UKJ2,UKJ22,East Sussex,County,1792.01,-0.00131058,50.87219785,"East Sussex is a county council in the South East of England. Over the years 2016–18 the Early Years Foundation Stage Profile outcomes for children eligible for free school meals improved markedly, to above the national average and above the average for statistical neighbours.",https://www.eif.org.uk/files/resources/slc-gap-case-east-sussex.pdf,S,FALSE,FALSE,TRUE,"3, 6, 8",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
7,Completely Fictitious Example,UKI,UKI3,UKI32,Westminster,Burrough,21.47,-0.135278,51.494722,"The triborough is three London boroughs working together in partnership. This means their data correlates to a set of LA areas, and not to any single LA area.",https://www.eif.org.uk/,E,TRUE,FALSE,FALSE,"3, 7",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
7,Completely Fictitious Example,UKI,UKI3,UKI33,Kensington & Chelsea and Hammersmith & Fulham,Burrough,16.39,-0.2291,51.499,"The triborough is three London boroughs working together in partnership. This means their data correlates to a set of LA areas, and not to any single LA area.",https://www.eif.org.uk/,E,TRUE,FALSE,FALSE,"3, 7",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
8,Completely Fictitious Example,UKE,UKE2,UKE21,York,Burrough,5,-1.07375002,53.96582031,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras vitae pulvinar odio, placerat pellentesque urna. Etiam elit velit, mattis ac tincidunt a, auctor eu nisl. Nullam vestibulum placerat magna, non sollicitudin ligula.",https://www.eif.org.uk/,F,FALSE,TRUE,FALSE,"4, 6",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
9,Completely Fictitious Example,UKF,UKF1,UKF12,East Derbyshire,Burrough,5,-1.38393998,53.2121315,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras vitae pulvinar odio, placerat pellentesque urna. Etiam elit velit, mattis ac tincidunt a, auctor eu nisl. Nullam vestibulum placerat magna, non sollicitudin ligula.",https://www.eif.org.uk/,S,FALSE,FALSE,TRUE,"2, 5",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
10,Completely Fictitious Example,UKF,UKF2,UKF22,Leicestershire CC and Rutland,Burrough,5,-0.79354,52.68328094,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras vitae pulvinar odio, placerat pellentesque urna. Etiam elit velit, mattis ac tincidunt a, auctor eu nisl. Nullam vestibulum placerat magna, non sollicitudin ligula.",https://www.eif.org.uk/,E,TRUE,FALSE,FALSE,"1, 6",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
11,Completely Fictitious Example,UKG,UKG2,UKG21,Telford and Wrekin,Burrough,5,-2.48940992,52.71416855,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras vitae pulvinar odio, placerat pellentesque urna. Etiam elit velit, mattis ac tincidunt a, auctor eu nisl. Nullam vestibulum placerat magna, non sollicitudin ligula.",https://www.eif.org.uk/,E,TRUE,FALSE,FALSE,"1, 8",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
12,Completely Fictitious Example,UKI,UKI5,UKI54,Enfield,Burrough,5,-0.08147,51.64888,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras vitae pulvinar odio, placerat pellentesque urna. Etiam elit velit, mattis ac tincidunt a, auctor eu nisl. Nullam vestibulum placerat magna, non sollicitudin ligula.",https://www.eif.org.uk/,F,FALSE,TRUE,FALSE,"2, 3",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
13,Completely Fictitious Example,UKJ,UKJ1,UKJ14,Oxfordshire,Burrough,5,-1.29146004,51.77154922,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras vitae pulvinar odio, placerat pellentesque urna. Etiam elit velit, mattis ac tincidunt a, auctor eu nisl. Nullam vestibulum placerat magna, non sollicitudin ligula.",https://www.eif.org.uk/,S,FALSE,FALSE,TRUE,"6, 7, 8",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
13,Completely Fictitious Example,UKJ,UKJ3,UKJ31,Portsmouth,Burrough,5,-1.07023001,50.80804825,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras vitae pulvinar odio, placerat pellentesque urna. Etiam elit velit, mattis ac tincidunt a, auctor eu nisl. Nullam vestibulum placerat magna, non sollicitudin ligula.",https://www.eif.org.uk/,S,FALSE,FALSE,TRUE,"6, 7, 8",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
14,Completely Fictitious Example,UKJ,UKJ3,UKJ32,Southampton,Burrough,5,-1.40024996,50.92037964,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras vitae pulvinar odio, placerat pellentesque urna. Etiam elit velit, mattis ac tincidunt a, auctor eu nisl. Nullam vestibulum placerat magna, non sollicitudin ligula.",https://www.eif.org.uk/,F,FALSE,TRUE,FALSE,"1, 4",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
15,Completely Fictitious Example,UKJ,UKJ4,UKJ44,East Kent,Burrough,5,1.19829297,51.15242004,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras vitae pulvinar odio, placerat pellentesque urna. Etiam elit velit, mattis ac tincidunt a, auctor eu nisl. Nullam vestibulum placerat magna, non sollicitudin ligula.",https://www.eif.org.uk/,E,TRUE,FALSE,FALSE,"2, 3",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
16,Completely Fictitious Example,UKK,UKK1,UKK13,Gloucestershire,Burrough,5,-2.15234995,51.81970978,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Cras vitae pulvinar odio, placerat pellentesque urna. Etiam elit velit, mattis ac tincidunt a, auctor eu nisl. Nullam vestibulum placerat magna, non sollicitudin ligula.",https://www.eif.org.uk/,E,TRUE,FALSE,FALSE,"5, 7",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE